zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
86106640,86106640,https://www.zillow.com/homedetails/5919-E-15th-Ave-Stillwater-OK-74074/86106640_zpid/,"5919 E 15th Ave, Stillwater, OK 74074",5919 E 15th Ave,74074,8,4,7331,320000,36.10448,-96.97707
224758534,224758534,https://www.zillow.com/homedetails/4114-W-Westbrook-Dr-Stillwater-OK-74074/224758534_zpid/,"4114 W Westbrook Dr, Stillwater, OK 74074",4114 W Westbrook Dr,74074,3,2,1565,203270,36.103012,-97.11263
224767037,224767037,https://www.zillow.com/homedetails/2305-S-Bluestone-St-Stillwater-OK-74074/224767037_zpid/,"2305 S Bluestone St, Stillwater, OK 74074",2305 S Bluestone St,74074,6,4,2974,275000,36.0966,-97.07849
86100581,86100581,https://www.zillow.com/homedetails/1123-E-Willham-Dr-Stillwater-OK-74075/86100581_zpid/,"1123 E Willham Dr, Stillwater, OK 74075",1123 E Willham Dr,74075,3,2,1562,173000,36.132362,-97.04427
86108219,86108219,https://www.zillow.com/homedetails/2314-N-Benjamin-St-Stillwater-OK-74075/86108219_zpid/,"2314 N Benjamin St, Stillwater, OK 74075",2314 N Benjamin St,74075,3,2,1236,195000,36.14583,-97.04703
2060876843,2060876843,https://www.zillow.com/homedetails/2016-Royal-Oak-Dr-Stillwater-OK-74074/2060876843_zpid/,"2016 Royal Oak Dr, Stillwater, OK 74074",2016 Royal Oak Dr,74074,4,2,2416,388000,0.0,0.0
333476855,333476855,https://www.zillow.com/homedetails/2125-W-Shadow-Rdg-Stillwater-OK-74074/333476855_zpid/,"2125 W Shadow Rdg, Stillwater, OK 74074",2125 W Shadow Rdg,74074,3,3,2403,421000,36.023937,-97.08502
86073219,86073219,https://www.zillow.com/homedetails/1027-W-Chatburn-Dr-Stillwater-OK-74075/86073219_zpid/,"1027 W Chatburn Dr, Stillwater, OK 74075",1027 W Chatburn Dr,74075,3,2,1458,179900,36.24742,-97.07287
86101492,86101492,https://www.zillow.com/homedetails/3003-S-Black-Oak-Dr-Stillwater-OK-74074/86101492_zpid/,"3003 S Black Oak Dr, Stillwater, OK 74074",3003 S Black Oak Dr,74074,3,2,1591,210000,36.08891,-97.099304
86102397,86102397,https://www.zillow.com/homedetails/909-E-68th-St-Stillwater-OK-74074/86102397_zpid/,"909 E 68th St, Stillwater, OK 74074",909 E 68th St,74074,4,3,2575,335000,36.042263,-97.04687
86108070,86108070,https://www.zillow.com/homedetails/712-S-Brush-Creek-Rd-Stillwater-OK-74074/86108070_zpid/,"712 S Brush Creek Rd, Stillwater, OK 74074",712 S Brush Creek Rd,74074,3,2,2159,155000,36.114193,-97.0161
2062557640,2062557640,https://www.zillow.com/homedetails/2304-S-Pintail-St-Stillwater-OK-74074/2062557640_zpid/,"2304 S Pintail St, Stillwater, OK 74074",2304 S Pintail St,74074,3,3,2026,381812,0.0,0.0
86100767,86100767,https://www.zillow.com/homedetails/4135-W-18th-Ave-Stillwater-OK-74074/86100767_zpid/,"4135 W 18th Ave, Stillwater, OK 74074",4135 W 18th Ave,74074,4,2,1966,221500,36.10171,-97.11314
86105444,86105444,https://www.zillow.com/homedetails/4903-S-Forest-Hills-Dr-Stillwater-OK-74074/86105444_zpid/,"4903 S Forest Hills Dr, Stillwater, OK 74074",4903 S Forest Hills Dr,74074,4,3,2575,385000,36.06573,-97.13383
248777637,248777637,https://www.zillow.com/homedetails/913-S-Linford-Dr-Stillwater-OK-74074/248777637_zpid/,"913 S Linford Dr, Stillwater, OK 74074",913 S Linford Dr,74074,3,2,1305,229000,36.110832,-97.11977
86100178,86100178,https://www.zillow.com/homedetails/2129-W-Sunset-Dr-Stillwater-OK-74074/86100178_zpid/,"2129 W Sunset Dr, Stillwater, OK 74074",2129 W Sunset Dr,74074,3,2,1381,225000,36.120197,-97.084946
224769363,224769363,https://www.zillow.com/homedetails/8215-E-Airport-Rd-Stillwater-OK-74075/224769363_zpid/,"8215 E Airport Rd, Stillwater, OK 74075",8215 E Airport Rd,74075,4,2,1440,112500,36.159317,-96.94209
86100536,86100536,https://www.zillow.com/homedetails/2202-W-23rd-Ave-Stillwater-OK-74074/86100536_zpid/,"2202 W 23rd Ave, Stillwater, OK 74074",2202 W 23rd Ave,74074,4,3,1678,160000,36.09744,-97.0855
86108616,86108616,https://www.zillow.com/homedetails/1516-E-Virginia-Ave-Stillwater-OK-74075/86108616_zpid/,"1516 E Virginia Ave, Stillwater, OK 74075",1516 E Virginia Ave,74075,3,2,1281,205000,36.123627,-97.03908
224769412,224769412,https://www.zillow.com/homedetails/4915-W-Briarcreek-Dr-Stillwater-OK-74074/224769412_zpid/,"4915 W Briarcreek Dr, Stillwater, OK 74074",4915 W Briarcreek Dr,74074,5,4,3460,629000,36.07284,-97.124695
93367544,93367544,https://www.zillow.com/homedetails/620-W-Ranch-Ave-Stillwater-OK-74075/93367544_zpid/,"620 W Ranch Ave, Stillwater, OK 74075",620 W Ranch Ave,74075,4,2,1949,250000,36.164986,-97.0667
120401094,120401094,https://www.zillow.com/homedetails/3212-W-Charleston-Ct-Stillwater-OK-74074/120401094_zpid/,"3212 W Charleston Ct, Stillwater, OK 74074",3212 W Charleston Ct,74074,3,2,2010,365000,36.102966,-97.10045
86104733,86104733,https://www.zillow.com/homedetails/722-E-Burris-Rd-Stillwater-OK-74075/86104733_zpid/,"722 E Burris Rd, Stillwater, OK 74075",722 E Burris Rd,74075,3,2,1726,160000,36.18843,-97.050804
93365256,93365256,https://www.zillow.com/homedetails/41-Windsor-Cir-Stillwater-OK-74074/93365256_zpid/,"41 Windsor Cir, Stillwater, OK 74074",41 Windsor Cir,74074,3,2,1590,194000,36.1189,-97.130875
125521878,125521878,https://www.zillow.com/homedetails/2121-W-Sunset-Dr-Stillwater-OK-74074/125521878_zpid/,"2121 W Sunset Dr, Stillwater, OK 74074",2121 W Sunset Dr,74074,4,3,2100,285000,36.1202,-97.08441
224763100,224763100,https://www.zillow.com/homedetails/1019-E-Franklin-Ave-Stillwater-OK-74075/224763100_zpid/,"1019 E Franklin Ave, Stillwater, OK 74075",1019 E Franklin Ave,74075,3,2,1086,166500,36.137913,-97.04456
86107531,86107531,https://www.zillow.com/homedetails/3823-W-Deer-Crossing-Dr-Stillwater-OK-74074/86107531_zpid/,"3823 W Deer Crossing Dr, Stillwater, OK 74074",3823 W Deer Crossing Dr,74074,5,5,5546,880000,36.08283,-97.10832
2061090511,2061090511,https://www.zillow.com/homedetails/3812-Woodland-Trails-Dr-Stillwater-OK-74074/2061090511_zpid/,"3812 Woodland Trails Dr, Stillwater, OK 74074",3812 Woodland Trails Dr,74074,4,4,4284,585000,36.0822,-97.10578
86073344,86073344,https://www.zillow.com/homedetails/914-W-Choctaw-Ln-Stillwater-OK-74075/86073344_zpid/,"914 W Choctaw Ln, Stillwater, OK 74075",914 W Choctaw Ln,74075,3,2,1385,189000,36.251274,-97.07166
86103326,86103326,https://www.zillow.com/homedetails/424-S-Ridge-Dr-Stillwater-OK-74074/86103326_zpid/,"424 S Ridge Dr, Stillwater, OK 74074",424 S Ridge Dr,74074,3,1,1885,218000,36.11704,-97.08523
86106556,86106556,https://www.zillow.com/homedetails/5111-N-Hunters-Rdg-Stillwater-OK-74075/86106556_zpid/,"5111 N Hunters Rdg, Stillwater, OK 74075",5111 N Hunters Rdg,74075,3,3,2819,430000,36.17594,-97.07649
86106358,86106358,https://www.zillow.com/homedetails/3114-N-Madison-Ct-Stillwater-OK-74075/86106358_zpid/,"3114 N Madison Ct, Stillwater, OK 74075",3114 N Madison Ct,74075,3,2,1505,259000,36.154263,-97.071205
116536017,116536017,https://www.zillow.com/homedetails/2210-N-Briarwood-St-Stillwater-OK-74075/116536017_zpid/,"2210 N Briarwood St, Stillwater, OK 74075",2210 N Briarwood St,74075,3,2,1617,224000,36.14405,-97.04407
2061362047,2061362047,https://www.zillow.com/homedetails/5814-E-Airport-Rd-Stillwater-OK-74075/2061362047_zpid/,"5814 E Airport Rd, Stillwater, OK 74075",5814 E Airport Rd,74075,3,2,1781,270000,36.159637,-96.97862
224761910,224761910,https://www.zillow.com/homedetails/914-W-Parkway-Dr-Stillwater-OK-74075/224761910_zpid/,"914 W Parkway Dr, Stillwater, OK 74075",914 W Parkway Dr,74075,3,2,1122,175500,36.152912,-97.07063
224770364,224770364,https://www.zillow.com/homedetails/6025-N-Canyon-Ct-Stillwater-OK-74075/224770364_zpid/,"6025 N Canyon Ct, Stillwater, OK 74075",6025 N Canyon Ct,74075,3,2,1643,265000,36.185635,-97.05267
86102640,86102640,https://www.zillow.com/homedetails/4718-W-16th-Ave-Stillwater-OK-74074/86102640_zpid/,"4718 W 16th Ave, Stillwater, OK 74074",4718 W 16th Ave,74074,3,2,2055,239000,36.104027,-97.12213
2069981667,2069981667,https://www.zillow.com/homedetails/1807-E-Moore-Ave-Stillwater-OK-74075/2069981667_zpid/,"1807 E Moore Ave, Stillwater, OK 74075",1807 E Moore Ave,74075,3,2,1271,198400,0.0,0.0
224762257,224762257,https://www.zillow.com/homedetails/1107-S-Gray-St-Stillwater-OK-74074/224762257_zpid/,"1107 S Gray St, Stillwater, OK 74074",1107 S Gray St,74074,3,2,2049,180000,36.10969,-97.07556
86101445,86101445,https://www.zillow.com/homedetails/3015-N-Monroe-St-Stillwater-OK-74075/86101445_zpid/,"3015 N Monroe St, Stillwater, OK 74075",3015 N Monroe St,74075,4,2,1825,215000,36.153183,-97.07156
