,zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,soldPrice,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,brokerName,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,streetViewMetadataURL,streetViewURL,lotAreaString,info6String
0,86106640,86106640,,https://photos.zillowstatic.com/fp/8e401f81b4b9290385561851f6bf61f2-p_e.jpg,TRUE,https://www.zillow.com/homedetails/5919-E-15th-Ave-Stillwater-OK-74074/86106640_zpid/,SOLD,Sold,$,"$320,000 ",320000,"5919 E 15th Ave, Stillwater, OK 74074",5919 E 15th Ave,Stillwater,OK,74074,FALSE,8,4,7331,"{'latitude': 36.10448, 'longitude': -96.97707}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 11/01/2022'}",,"{'homeInfo': {'zpid': 86106640, 'streetAddress': '5919 E 15th Ave', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.10448, 'longitude': -96.97707, 'price': 320000.0, 'dateSold': 1667286000000, 'bathrooms': 4.0, 'bedrooms': 8.0, 'livingArea': 7331.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 335500, 'rentZestimate': 2799, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 320000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 170478.0, 'lotAreaValue': 4.0, 'lotAreaUnit': 'acres'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,335500,FALSE,FALSE,FALSE,FALSE,METRO FIRST REALTY UNLIMITED,TRUE,FALSE,,TRUE,FALSE,,,,
1,224758534,224758534,,https://photos.zillowstatic.com/fp/ebead3de847d486b097ac03d36be7588-p_e.jpg,TRUE,https://www.zillow.com/homedetails/4114-W-Westbrook-Dr-Stillwater-OK-74074/224758534_zpid/,SOLD,Sold,$,"$203,270 ",203270,"4114 W Westbrook Dr, Stillwater, OK 74074",4114 W Westbrook Dr,Stillwater,OK,74074,FALSE,3,2,1565,"{'latitude': 36.103012, 'longitude': -97.11263}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/31/2022'}",,"{'homeInfo': {'zpid': 224758534, 'streetAddress': '4114 W Westbrook Dr', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.103012, 'longitude': -97.11263, 'price': 203270.0, 'dateSold': 1667199600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1565.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 207500, 'rentZestimate': 1464, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 203270.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 164290.0, 'lotAreaValue': 9044.0, 'lotAreaUnit': 'sqft'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,207500,FALSE,FALSE,FALSE,FALSE,"FISHER PROVENCE, REALTORS",TRUE,FALSE,,TRUE,FALSE,,,,
2,224767037,224767037,,https://photos.zillowstatic.com/fp/092d4821bb7aec8e17034203e4ab08b0-p_e.jpg,TRUE,https://www.zillow.com/homedetails/2305-S-Bluestone-St-Stillwater-OK-74074/224767037_zpid/,SOLD,Sold,$,"$275,000 ",275000,"2305 S Bluestone St, Stillwater, OK 74074",2305 S Bluestone St,Stillwater,OK,74074,FALSE,6,4,2974,"{'latitude': 36.0966, 'longitude': -97.07849}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/31/2022'}",,"{'homeInfo': {'zpid': 224767037, 'streetAddress': '2305 S Bluestone St', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.0966, 'longitude': -97.07849, 'price': 275000.0, 'dateSold': 1667199600000, 'bathrooms': 4.0, 'bedrooms': 6.0, 'livingArea': 2974.0, 'homeType': 'MULTI_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 295100, 'rentZestimate': 1769, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 275000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 228000.0, 'lotAreaValue': 0.27548209366391185, 'lotAreaUnit': 'acres'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,295100,FALSE,FALSE,FALSE,FALSE,Metro First Realty Unlimited - Stillwater,TRUE,FALSE,,TRUE,FALSE,,,,
3,86100581,86100581,,https://photos.zillowstatic.com/fp/a70c8f96f4088dcf84225fcce676950d-p_e.jpg,TRUE,https://www.zillow.com/homedetails/1123-E-Willham-Dr-Stillwater-OK-74075/86100581_zpid/,SOLD,Sold,$,"$173,000 ",173000,"1123 E Willham Dr, Stillwater, OK 74075",1123 E Willham Dr,Stillwater,OK,74075,FALSE,3,2,1562,"{'latitude': 36.132362, 'longitude': -97.04427}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/31/2022'}",,"{'homeInfo': {'zpid': 86100581, 'streetAddress': '1123 E Willham Dr', 'zipcode': '74075', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.132362, 'longitude': -97.04427, 'price': 173000.0, 'dateSold': 1667199600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1562.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 179600, 'rentZestimate': 1490, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 173000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 164775.0, 'lotAreaValue': 9600.0, 'lotAreaUnit': 'sqft'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,179600,FALSE,FALSE,FALSE,FALSE,eXp Realty,TRUE,FALSE,,TRUE,FALSE,,,,
4,86108219,86108219,,https://photos.zillowstatic.com/fp/ee780ef5ee4bc304f8667b8cc12ead9d-p_e.jpg,TRUE,https://www.zillow.com/homedetails/2314-N-Benjamin-St-Stillwater-OK-74075/86108219_zpid/,SOLD,Sold,$,"$195,000 ",195000,"2314 N Benjamin St, Stillwater, OK 74075",2314 N Benjamin St,Stillwater,OK,74075,FALSE,3,2,1236,"{'latitude': 36.14583, 'longitude': -97.04703}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/31/2022'}",,"{'homeInfo': {'zpid': 86108219, 'streetAddress': '2314 N Benjamin St', 'zipcode': '74075', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.14583, 'longitude': -97.04703, 'price': 195000.0, 'dateSold': 1667199600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1236.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 194670, 'rentZestimate': 1200, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 195000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 141176.0}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,194670,FALSE,FALSE,FALSE,FALSE,Metro First Realty Unlimited - Stillwater,TRUE,FALSE,,TRUE,FALSE,,,,
5,2060876843,2060876843,,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.10027313232422,-96.99471282958984&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=1KW__C4g1yxbdHCzJBEspKZLtog=",,https://www.zillow.com/homedetails/2016-Royal-Oak-Dr-Stillwater-OK-74074/2060876843_zpid/,SOLD,Sold,$,"$388,000 ",388000,"2016 Royal Oak Dr, Stillwater, OK 74074",2016 Royal Oak Dr,Stillwater,OK,74074,FALSE,4,2,2416,{},FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/28/2022'}",,"{'homeInfo': {'zpid': 2060876843, 'streetAddress': '2016 Royal Oak Dr', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'price': 388000.0, 'dateSold': 1666940400000, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 2416.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 388000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,,FALSE,FALSE,FALSE,FALSE,Coldwell Banker Team Stillwater,TRUE,FALSE,,TRUE,FALSE,"https://maps.googleapis.com/maps/api/streetview/metadata?location=36.10027313232422,-96.99471282958984&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=yjbezcJqCu5L0gEyPTw2jxsBJ40=","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=36.10027313232422,-96.99471282958984&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=zuQd7ZZcJ3qQBSXMq5aIhsvYcVA=",,
6,333476855,333476855,,https://photos.zillowstatic.com/fp/81819a114201098b1b90ea61ed610f9a-p_e.jpg,TRUE,https://www.zillow.com/homedetails/2125-W-Shadow-Rdg-Stillwater-OK-74074/333476855_zpid/,SOLD,Sold,$,"$421,000 ",421000,"2125 W Shadow Rdg, Stillwater, OK 74074",2125 W Shadow Rdg,Stillwater,OK,74074,FALSE,3,3,2403,"{'latitude': 36.023937, 'longitude': -97.08502}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/28/2022'}",,"{'homeInfo': {'zpid': 333476855, 'streetAddress': '2125 W Shadow Rdg', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.023937, 'longitude': -97.08502, 'price': 421000.0, 'dateSold': 1666940400000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2403.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 409900, 'rentZestimate': 2469, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 421000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 13390.0, 'lotAreaValue': 1.37, 'lotAreaUnit': 'acres'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,409900,FALSE,FALSE,FALSE,FALSE,McGraw Realtors @ Memorial,TRUE,FALSE,,TRUE,FALSE,,,,
7,86073219,86073219,,https://photos.zillowstatic.com/fp/a469d29e68ec77d088a49c90a2e752c3-p_e.jpg,TRUE,https://www.zillow.com/homedetails/1027-W-Chatburn-Dr-Stillwater-OK-74075/86073219_zpid/,SOLD,Sold,$,"$179,900 ",179900,"1027 W Chatburn Dr, Stillwater, OK 74075",1027 W Chatburn Dr,Stillwater,OK,74075,FALSE,3,2,1458,"{'latitude': 36.24742, 'longitude': -97.07287}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/28/2022'}",,"{'homeInfo': {'zpid': 86073219, 'streetAddress': '1027 W Chatburn Dr', 'zipcode': '74075', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.24742, 'longitude': -97.07287, 'price': 179900.0, 'dateSold': 1666940400000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1458.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 179400, 'rentZestimate': 1395, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 179900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 83206.0, 'lotAreaValue': 1.0, 'lotAreaUnit': 'acres'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,179400,FALSE,FALSE,FALSE,FALSE,"CENTURY 21 GLOBAL, REALTORS",TRUE,FALSE,,TRUE,FALSE,,,,
8,86101492,86101492,,https://photos.zillowstatic.com/fp/c5bb9db13ac06eb6bc66d8f89c882bed-p_e.jpg,TRUE,https://www.zillow.com/homedetails/3003-S-Black-Oak-Dr-Stillwater-OK-74074/86101492_zpid/,SOLD,Sold,$,"$210,000 ",210000,"3003 S Black Oak Dr, Stillwater, OK 74074",3003 S Black Oak Dr,Stillwater,OK,74074,FALSE,3,2,1591,"{'latitude': 36.08891, 'longitude': -97.099304}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/28/2022'}",,"{'homeInfo': {'zpid': 86101492, 'streetAddress': '3003 S Black Oak Dr', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.08891, 'longitude': -97.099304, 'price': 210000.0, 'dateSold': 1666940400000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1591.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 210000, 'rentZestimate': 1500, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 210000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 166250.0, 'lotAreaValue': 10275.0, 'lotAreaUnit': 'sqft'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,210000,FALSE,FALSE,FALSE,FALSE,Coldwell Banker Team Stillwater,TRUE,FALSE,,TRUE,FALSE,,,,
9,86102397,86102397,,https://photos.zillowstatic.com/fp/ca149fbb3319922f1aecd9f4ce48b485-p_e.jpg,TRUE,https://www.zillow.com/homedetails/909-E-68th-St-Stillwater-OK-74074/86102397_zpid/,SOLD,Sold,$,"$335,000 ",335000,"909 E 68th St, Stillwater, OK 74074",909 E 68th St,Stillwater,OK,74074,FALSE,4,3,2575,"{'latitude': 36.042263, 'longitude': -97.04687}",FALSE,"{'type': 'RECENTLY_SOLD', 'text': 'Sold 10/28/2022'}",,"{'homeInfo': {'zpid': 86102397, 'streetAddress': '909 E 68th St', 'zipcode': '74074', 'city': 'Stillwater', 'state': 'OK', 'latitude': 36.042263, 'longitude': -97.04687, 'price': 335000.0, 'dateSold': 1666940400000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2575.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'RECENTLY_SOLD', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 338100, 'rentZestimate': 2211, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'RECENTLY_SOLD', 'priceForHDP': 335000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 212715.0, 'lotAreaValue': 4.89, 'lotAreaUnit': 'acres'}}",FALSE,FALSE,FALSE,RecentlySold,Unknown Listed By,338100,FALSE,FALSE,FALSE,FALSE,REAL ESTATE PROFESSIONALS,TRUE,FALSE,,TRUE,FALSE,,,,
